Period,Period Moving Avg,Season,Temp C,temp real C,Time,Weather,Wind kph,Wind Speed Kph,Count,F1,Humidity Percent,Is Holiday,Is Weekend,temp feels like C
01-01-2015,04-01-2015,winter,0.0,2.0,04-01-2015 15:00:00,Broken clouds,10.3,11.0,869,15,0.93,0,1,-1.5
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 16:00:00,Broken clouds,10.3,12.0,737,16,0.93,0,1,0
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 17:00:00,Broken clouds,10.3,11.0,594,17,0.93,0,1,0
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 18:00:00,Broken clouds,3.4,6.5,522,18,0.93,0,1,1.5
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 19:00:00,Broken clouds,6.9,7.0,379,19,0.93,0,1,1
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 20:00:00,Broken clouds,3.4,4.0,328,20,0.93,0,1,3
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 21:00:00,Cloudy,3.4,5.0,221,21,0.93,0,1,2.5
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 22:00:00,Cloudy,3.4,6.0,178,22,0.93,0,1,2
01-01-2015,04-01-2015,winter,2.4,4.0,04-01-2015 23:00:00,Cloudy,3.4,5.0,157,23,0.87,0,1,3.5
01-01-2015,05-01-2015,winter,2.4,4.0,05-01-2015 00:00:00,Cloudy,3.4,6.0,83,24,0.93,0,0,3
01-01-2015,05-01-2015,winter,2.4,4.0,05-01-2015 01:00:00,Cloudy,3.4,5.0,67,25,0.93,0,0,3.5
01-01-2015,05-01-2015,winter,4.9,5.0,05-01-2015 02:00:00,Cloudy,3.4,6.0,32,26,0.87,0,0,4
01-01-2015,05-01-2015,winter,4.9,6.0,05-01-2015 03:00:00,Cloudy,6.9,7.5,22,27,0.84,0,0,4.5
01-01-2015,05-01-2015,winter,4.9,6.5,05-01-2015 04:00:00,Cloudy,6.9,8.0,38,28,0.84,0,0,5
01-01-2015,05-01-2015,winter,4.9,6.0,05-01-2015 05:00:00,Cloudy,3.4,5.0,81,29,0.87,0,0,5.5
01-01-2015,05-01-2015,winter,4.9,7.0,05-01-2015 06:00:00,Broken clouds,3.4,5.0,444,30,0.81,0,0,6.5
01-01-2015,05-01-2015,winter,4.9,7.0,05-01-2015 07:00:00,Broken clouds,3.4,6.5,1597,31,0.81,0,0,6
01-01-2015,05-01-2015,winter,7.3,8.0,05-01-2015 08:00:00,Broken clouds,3.4,5.0,3161,32,0.79,0,0,7.5
01-01-2015,05-01-2015,winter,7.3,8.0,05-01-2015 09:00:00,Broken clouds,3.4,6.0,1342,33,0.82,0,0,7
01-01-2015,05-01-2015,winter,7.3,9.0,05-01-2015 10:00:00,Broken clouds,3.4,6.5,568,34,0.845,0,0,8
01-01-2015,05-01-2015,winter,7.3,9.0,05-01-2015 11:00:00,Broken clouds,6.9,10.0,584,35,0.905,0,0,7.5
01-01-2015,05-01-2015,winter,9.8,10.0,05-01-2015 12:00:00,Broken clouds,10.3,11.0,762,36,0.85,0,0,8
01-01-2015,05-01-2015,winter,9.8,10.0,05-01-2015 13:00:00,Broken clouds,6.9,10.0,873,37,0.82,0,0,8.5
01-01-2015,05-01-2015,winter,9.8,10.0,05-01-2015 14:00:00,Broken clouds,6.9,9.0,672,38,0.82,0,0,9
01-01-2015,05-01-2015,winter,9.8,10.0,05-01-2015 15:00:00,Broken clouds,6.9,10.0,807,39,0.79,0,0,8.5
01-01-2015,05-01-2015,winter,9.8,10.0,05-01-2015 16:00:00,Broken clouds,10.3,13.0,1192,40,0.735,0,0,8.5
01-01-2015,05-01-2015,winter,7.3,9.5,05-01-2015 17:00:00,Broken clouds,10.3,12.0,2761,41,0.735,0,0,7.5
01-01-2015,05-01-2015,winter,7.3,9.5,05-01-2015 18:00:00,Broken clouds,13.7,14.0,2389,42,0.69,0,0,7.5
01-01-2015,05-01-2015,winter,7.3,9.0,05-01-2015 19:00:00,Broken clouds,13.7,14.0,1274,43,0.71,0,0,6.5
01-01-2015,05-01-2015,winter,7.3,9.0,05-01-2015 20:00:00,Broken clouds,13.7,14.0,696,44,0.71,0,0,7
01-01-2015,05-01-2015,winter,7.3,9.0,05-01-2015 21:00:00,Broken clouds,10.3,11.0,411,45,0.71,0,0,7
01-01-2015,05-01-2015,winter,7.3,9.0,05-01-2015 22:00:00,Cloudy,6.9,10.0,324,46,0.71,0,0,7.5
01-01-2015,05-01-2015,winter,7.3,8.5,05-01-2015 23:00:00,Cloudy,6.9,8.0,192,47,0.735,0,0,7.5
01-01-2015,06-01-2015,winter,7.3,8.0,06-01-2015 00:00:00,Cloudy,6.9,8.0,91,48,0.76,0,0,6.5
01-01-2015,06-01-2015,winter,7.3,8.0,06-01-2015 01:00:00,Cloudy,6.9,8.0,73,49,0.76,0,0,6.5
01-01-2015,06-01-2015,winter,7.3,8.0,06-01-2015 02:00:00,Cloudy,10.3,11.0,33,50,0.76,0,0,6
01-01-2015,06-01-2015,winter,7.3,8.0,06-01-2015 03:00:00,Cloudy,13.7,14.0,19,51,0.76,0,0,5.5
01-01-2015,06-01-2015,winter,7.3,8.5,06-01-2015 04:00:00,Cloudy,10.3,11.0,40,52,0.735,0,0,6.5
01-01-2015,06-01-2015,winter,7.3,8.0,06-01-2015 05:00:00,Cloudy,13.7,14.0,74,53,0.82,0,0,5.5
01-01-2015,06-01-2015,winter,7.3,8.0,06-01-2015 06:00:00,Broken clouds,13.7,15.0,530,54,0.845,0,0,5
01-01-2015,06-01-2015,winter,7.3,9.0,06-01-2015 07:00:00,Broken clouds,10.3,13.0,1715,55,0.82,0,0,7
01-01-2015,06-01-2015,winter,7.3,9.0,06-01-2015 08:00:00,Rain,10.3,12.0,3534,56,0.82,0,0,7
01-01-2015,06-01-2015,winter,7.3,9.0,06-01-2015 09:00:00,Rain,13.7,16.0,1573,57,0.87,0,0,6.5
01-01-2015,06-01-2015,winter,9.8,10.0,06-01-2015 10:00:00,Broken clouds,17.2,19.5,635,58,0.88,0,0,7.5
01-01-2015,06-01-2015,winter,9.8,10.0,06-01-2015 11:00:00,Broken clouds,17.2,18.0,550,59,0.88,0,0,8
01-01-2015,06-01-2015,winter,9.8,11.0,06-01-2015 12:00:00,Rain,17.2,19.0,395,60,0.85,0,0,11
01-01-2015,06-01-2015,winter,7.3,9.5,06-01-2015 13:00:00,Broken clouds,27.4,27.5,426,61,0.845,0,0,6
01-01-2015,06-01-2015,winter,7.3,9.0,06-01-2015 14:00:00,Broken clouds,24.0,26.0,579,62,0.71,0,0,6
01-01-2015,06-01-2015,winter,7.3,8.0,06-01-2015 15:00:00,Scattered clouds,20.6,23.0,718,63,0.71,0,0,4.5
01-01-2015,06-01-2015,winter,7.3,8.0,06-01-2015 16:00:00,Scattered clouds,17.2,19.5,1184,64,0.685,0,0,5
01-01-2015,06-01-2015,winter,7.3,7.5,06-01-2015 17:00:00,Clear,20.6,22.0,2662,65,0.71,0,0,4
01-01-2015,06-01-2015,winter,4.9,7.0,06-01-2015 18:00:00,Clear,17.2,17.5,2610,66,0.71,0,0,4
01-01-2015,06-01-2015,winter,4.9,6.0,06-01-2015 19:00:00,Clear,13.7,15.0,1402,67,0.76,0,0,3
01-01-2015,06-01-2015,winter,4.9,5.5,06-01-2015 20:00:00,Clear,13.7,15.0,720,68,0.785,0,0,2.5
01-01-2015,06-01-2015,winter,4.9,5.0,06-01-2015 21:00:00,Clear,13.7,15.0,494,69,0.81,0,0,2
01-01-2015,06-01-2015,winter,2.4,4.5,06-01-2015 22:00:00,Clear,10.3,13.0,344,70,0.81,0,0,1.5
01-01-2015,06-01-2015,winter,2.4,4.0,06-01-2015 23:00:00,Clear,10.3,12.0,212,71,0.84,0,0,1
01-01-2015,07-01-2015,winter,2.4,4.0,07-01-2015 00:00:00,Clear,10.3,12.0,102,72,0.81,0,0,1
01-01-2015,07-01-2015,winter,2.4,4.0,07-01-2015 01:00:00,Clear,10.3,11.0,60,73,0.81,0,0,1
01-01-2015,07-01-2015,winter,2.4,4.0,07-01-2015 02:00:00,Clear,6.9,10.0,33,74,0.81,0,0,1.5
01-01-2015,07-01-2015,winter,2.4,3.5,07-01-2015 03:00:00,Scattered clouds,6.9,9.0,26,75,0.84,0,0,1
01-01-2015,07-01-2015,winter,2.4,4.0,07-01-2015 04:00:00,Scattered clouds,6.9,10.0,33,76,0.81,0,0,1.5
01-01-2015,07-01-2015,winter,2.4,4.0,07-01-2015 05:00:00,Clear,6.9,9.0,80,77,0.87,0,0,2
01-01-2015,07-01-2015,winter,4.9,5.0,07-01-2015 06:00:00,Clear,6.9,10.0,526,78,0.81,0,0,2.5
01-01-2015,07-01-2015,winter,4.9,5.5,07-01-2015 07:00:00,Clear,10.3,13.0,1757,79,0.81,0,0,2.5
01-01-2015,07-01-2015,winter,4.9,6.5,07-01-2015 08:00:00,Scattered clouds,13.7,15.0,3618,80,0.81,0,0,3.5
01-01-2015,07-01-2015,winter,7.3,8.0,07-01-2015 09:00:00,Broken clouds,17.2,19.0,1714,81,0.76,0,0,5
01-01-2015,07-01-2015,winter,7.3,8.0,07-01-2015 10:00:00,Scattered clouds,17.2,19.5,763,82,0.82,0,0,5
01-01-2015,07-01-2015,winter,7.3,9.0,07-01-2015 11:00:00,Scattered clouds,20.6,21.0,690,83,0.76,0,0,6
01-01-2015,07-01-2015,winter,7.3,9.0,07-01-2015 12:00:00,Scattered clouds,24.0,27.0,913,84,0.76,0,0,5.5
01-01-2015,07-01-2015,winter,7.3,9.5,07-01-2015 13:00:00,Scattered clouds,27.4,28.0,982,85,0.715,0,0,6
01-01-2015,07-01-2015,winter,9.8,10.0,07-01-2015 14:00:00,Scattered clouds,27.4,28.5,783,86,0.62,0,0,6.5
01-01-2015,07-01-2015,winter,7.3,9.0,07-01-2015 15:00:00,Scattered clouds,24.0,25.0,794,87,0.685,0,0,6
01-01-2015,07-01-2015,winter,7.3,9.0,07-01-2015 16:00:00,Broken clouds,24.0,25.0,1171,88,0.76,0,0,6
01-01-2015,07-01-2015,winter,7.3,9.5,07-01-2015 17:00:00,Broken clouds,20.6,24.0,2647,89,0.715,0,0,6.5
01-01-2015,07-01-2015,winter,9.8,10.0,07-01-2015 18:00:00,Broken clouds,27.4,30.0,2579,90,0.71,0,0,7
01-01-2015,07-01-2015,winter,9.8,10.0,07-01-2015 20:00:00,Broken clouds,27.4,30.5,657,91,0.79,0,0,6.5
01-01-2015,07-01-2015,winter,9.8,10.0,07-01-2015 21:00:00,Rain,24.0,27.0,516,92,0.82,0,0,7
01-01-2015,07-01-2015,winter,9.8,10.0,07-01-2015 22:00:00,Rain,24.0,27.0,414,93,0.82,0,0,7
01-01-2015,07-01-2015,winter,9.8,10.0,07-01-2015 23:00:00,Rain,20.6,24.0,206,94,0.85,0,0,7
01-01-2015,08-01-2015,winter,9.8,11.0,08-01-2015 00:00:00,Cloudy,24.0,26.0,123,95,0.82,0,0,11
01-01-2015,08-01-2015,winter,9.8,11.5,08-01-2015 01:00:00,Broken clouds,20.6,24.0,56,96,0.85,0,0,11.5
01-01-2015,08-01-2015,winter,9.8,12.0,08-01-2015 02:00:00,Broken clouds,24.0,25.0,51,97,0.82,0,0,12
01-01-2015,08-01-2015,winter,9.8,12.0,08-01-2015 03:00:00,Broken clouds,20.6,22.0,33,98,0.85,0,0,12
01-01-2015,08-01-2015,winter,9.8,12.0,08-01-2015 04:00:00,Rain,17.2,20.5,32,99,0.88,0,0,12
01-01-2015,08-01-2015,winter,9.8,12.0,08-01-2015 05:00:00,Rain,17.2,20.5,87,100,0.8,0,0,12
01-01-2015,08-01-2015,winter,9.8,11.5,08-01-2015 06:00:00,Broken clouds,13.7,17.0,511,101,0.745,0,0,11.5
01-01-2015,08-01-2015,winter,9.8,10.5,08-01-2015 07:00:00,Rain,13.7,17.0,982,102,0.825,0,0,9.5
01-01-2015,08-01-2015,winter,7.3,9.5,08-01-2015 08:00:00,Rain,13.7,14.0,1228,103,0.875,0,0,7.5
01-01-2015,08-01-2015,winter,7.3,9.0,08-01-2015 09:00:00,Rain,10.3,13.0,573,104,0.87,0,0,7
01-01-2015,08-01-2015,winter,7.3,9.0,08-01-2015 10:00:00,Rain,13.7,14.0,185,105,0.87,0,0,7
01-01-2015,08-01-2015,winter,7.3,9.0,08-01-2015 11:00:00,Rain,17.2,20.5,193,106,0.82,0,0,6
01-01-2015,08-01-2015,winter,7.3,9.0,08-01-2015 12:00:00,Scattered clouds,13.7,17.0,522,107,0.845,0,0,6.5
01-01-2015,08-01-2015,winter,7.3,9.0,08-01-2015 13:00:00,Scattered clouds,24.0,27.0,672,108,0.79,0,0,5.5
01-01-2015,08-01-2015,winter,9.8,10.0,08-01-2015 14:00:00,Scattered clouds,20.6,22.0,761,109,0.71,0,0,7
01-01-2015,08-01-2015,winter,7.3,9.0,08-01-2015 15:00:00,Scattered clouds,20.6,22.0,781,110,0.71,0,0,6
01-01-2015,08-01-2015,winter,7.3,9.0,08-01-2015 16:00:00,Scattered clouds,17.2,19.5,1212,111,0.71,0,0,6
01-01-2015,08-01-2015,winter,7.3,9.0,08-01-2015 17:00:00,Scattered clouds,20.6,22.0,2351,112,0.76,0,0,6
01-01-2015,08-01-2015,winter,7.3,8.5,08-01-2015 18:00:00,Clear,20.6,22.5,2110,113,0.735,0,0,5.5
01-01-2015,08-01-2015,winter,7.3,8.0,08-01-2015 19:00:00,Clear,17.2,20.5,1239,114,0.735,0,0,5
01-01-2015,08-01-2015,winter,7.3,8.0,08-01-2015 20:00:00,Clear,13.7,17.0,752,115,0.76,0,0,5
01-01-2015,08-01-2015,winter,7.3,8.0,08-01-2015 21:00:00,Clear,17.2,20.5,457,116,0.76,0,0,4.5
01-01-2015,08-01-2015,winter,7.3,8.5,08-01-2015 22:00:00,Clear,20.6,21.0,423,117,0.735,0,0,5.5
01-01-2015,08-01-2015,winter,7.3,9.0,08-01-2015 23:00:00,Scattered clouds,24.0,27.0,267,118,0.76,0,0,5.5
01-01-2015,09-01-2015,winter,9.8,10.0,09-01-2015 00:00:00,Scattered clouds,27.4,28.0,147,119,0.71,0,0,7
01-01-2015,09-01-2015,winter,9.8,10.0,09-01-2015 01:00:00,Rain,27.4,30.0,60,120,0.735,0,0,7
01-01-2015,09-01-2015,winter,9.8,10.0,09-01-2015 02:00:00,Rain,27.4,29.5,65,121,0.79,0,0,6.5
01-01-2015,09-01-2015,winter,9.8,11.0,09-01-2015 03:00:00,Broken clouds,27.4,29.0,42,122,0.795,0,0,11
01-01-2015,09-01-2015,winter,9.8,11.0,09-01-2015 04:00:00,Broken clouds,30.9,33.0,47,123,0.85,0,0,11
01-01-2015,09-01-2015,winter,9.8,11.5,09-01-2015 05:00:00,Broken clouds,30.9,33.0,85,124,0.85,0,0,11.5
01-01-2015,09-01-2015,winter,9.8,12.0,09-01-2015 06:00:00,Broken clouds,30.9,32.5,441,125,0.82,0,0,12
01-01-2015,09-01-2015,winter,9.8,12.0,09-01-2015 07:00:00,Broken clouds,30.9,31.5,1593,126,0.82,0,0,12
01-01-2015,09-01-2015,winter,9.8,12.0,09-01-2015 08:00:00,Scattered clouds,24.0,25.0,3505,127,0.795,0,0,12
01-01-2015,09-01-2015,winter,9.8,12.0,09-01-2015 09:00:00,Scattered clouds,27.4,30.0,1768,128,0.745,0,0,12
01-01-2015,09-01-2015,winter,12.2,12.5,09-01-2015 10:00:00,Clear,27.4,29.5,799,129,0.695,0,0,12.5
01-01-2015,09-01-2015,winter,12.2,13.0,09-01-2015 11:00:00,Clear,27.4,28.0,806,130,0.67,0,0,13
01-01-2015,09-01-2015,winter,12.2,13.0,09-01-2015 12:00:00,Clear,24.0,26.0,1052,131,0.67,0,0,13
01-01-2015,09-01-2015,winter,12.2,13.0,09-01-2015 13:00:00,Clear,27.4,30.0,1078,132,0.63,0,0,13
01-01-2015,09-01-2015,winter,12.2,13.0,09-01-2015 14:00:00,Scattered clouds,24.0,26.0,976,133,0.63,0,0,13
01-01-2015,09-01-2015,winter,12.2,13.5,09-01-2015 15:00:00,Rain,30.9,33.5,912,134,0.675,0,0,13.5
01-01-2015,09-01-2015,winter,12.2,13.0,09-01-2015 16:00:00,Rain,34.3,37.0,1229,135,0.795,0,0,13
01-01-2015,09-01-2015,winter,12.2,13.5,09-01-2015 17:00:00,Rain,34.3,35.0,2409,136,0.85,0,0,13.5
01-01-2015,09-01-2015,winter,14.6,15.0,09-01-2015 18:00:00,Rain,34.3,36.0,1983,137,0.82,0,0,15
01-01-2015,09-01-2015,winter,14.6,15.5,09-01-2015 19:00:00,Rain,37.7,41.0,1094,138,0.77,0,0,15.5
01-01-2015,09-01-2015,winter,14.6,15.0,09-01-2015 20:00:00,Broken clouds,41.2,44.0,686,139,0.72,0,0,15
01-01-2015,09-01-2015,winter,14.6,15.0,09-01-2015 21:00:00,Broken clouds,37.7,41.0,443,140,0.68,0,0,15
01-01-2015,09-01-2015,winter,14.6,15.0,09-01-2015 22:00:00,Broken clouds,37.7,40.0,464,141,0.68,0,0,15
01-01-2015,09-01-2015,winter,12.2,14.0,09-01-2015 23:00:00,Cloudy,41.2,41.5,420,142,0.77,0,0,14
01-01-2015,10-01-2015,winter,12.2,14.0,10-01-2015 00:00:00,Cloudy,37.7,39.0,392,143,0.77,0,1,14
01-01-2015,10-01-2015,winter,12.2,14.0,10-01-2015 01:00:00,Cloudy,37.7,40.0,277,144,0.77,0,1,14
01-01-2015,10-01-2015,winter,12.2,14.0,10-01-2015 02:00:00,Broken clouds,37.7,40.5,189,145,0.72,0,1,14
01-01-2015,10-01-2015,winter,12.2,13.0,10-01-2015 03:00:00,Broken clouds,37.7,41.0,153,146,0.77,0,1,13
01-01-2015,10-01-2015,winter,12.2,13.0,10-01-2015 04:00:00,Broken clouds,34.3,36.0,90,147,0.77,0,1,13
01-01-2015,10-01-2015,winter,12.2,13.0,10-01-2015 05:00:00,Broken clouds,34.3,35.0,52,148,0.77,0,1,13
01-01-2015,10-01-2015,winter,12.2,13.0,10-01-2015 06:00:00,Rain,34.3,35.0,69,149,0.82,0,1,13
01-01-2015,10-01-2015,winter,12.2,13.0,10-01-2015 07:00:00,Broken clouds,34.3,35.0,143,150,0.795,0,1,13
01-01-2015,10-01-2015,winter,12.2,14.0,10-01-2015 08:00:00,Broken clouds,37.7,40.0,321,151,0.745,0,1,14
01-01-2015,10-01-2015,winter,12.2,14.0,10-01-2015 09:00:00,Broken clouds,44.6,48.0,619,152,0.77,0,1,14
01-01-2015,10-01-2015,winter,12.2,14.0,10-01-2015 10:00:00,Rain,37.7,41.0,757,153,0.745,0,1,14
01-01-2015,10-01-2015,winter,9.8,11.5,10-01-2015 11:00:00,Broken clouds,41.2,42.5,800,154,0.675,0,1,11.5
01-01-2015,10-01-2015,winter,9.8,11.5,10-01-2015 12:00:00,Scattered clouds,41.2,41.5,1191,155,0.58,0,1,11.5
01-01-2015,10-01-2015,winter,9.8,10.5,10-01-2015 13:00:00,Broken clouds,37.7,38.0,1395,156,0.54,0,1,8.5
01-01-2015,10-01-2015,winter,7.3,9.0,10-01-2015 14:00:00,Broken clouds,41.2,42.5,1358,157,0.54,0,1,4.5
01-01-2015,10-01-2015,winter,7.3,9.0,10-01-2015 15:00:00,Scattered clouds,34.3,35.0,1436,158,0.48,0,1,5
01-01-2015,10-01-2015,winter,7.3,8.0,10-01-2015 16:00:00,Clear,24.0,27.0,1270,159,0.515,0,1,4
01-01-2015,10-01-2015,winter,7.3,8.0,10-01-2015 17:00:00,Scattered clouds,27.4,29.0,1054,160,0.515,0,1,4
01-01-2015,10-01-2015,winter,4.9,7.0,10-01-2015 18:00:00,Clear,24.0,26.0,849,161,0.55,0,1,3
01-01-2015,10-01-2015,winter,4.9,6.0,10-01-2015 19:00:00,Clear,24.0,26.0,720,162,0.57,0,1,2
01-01-2015,10-01-2015,winter,4.9,6.0,10-01-2015 20:00:00,Clear,24.0,25.0,556,163,0.57,0,1,2
01-01-2015,10-01-2015,winter,4.9,6.0,10-01-2015 21:00:00,Clear,20.6,21.0,349,164,0.57,0,1,2
01-01-2015,10-01-2015,winter,4.9,5.0,10-01-2015 22:00:00,Clear,17.2,20.0,335,165,0.66,0,1,1
01-01-2015,10-01-2015,winter,4.9,5.0,10-01-2015 23:00:00,Clear,17.2,19.5,334,166,0.66,0,1,1
01-01-2015,11-01-2015,winter,2.4,4.5,11-01-2015 00:00:00,Clear,20.6,22.0,360,167,0.725,0,1,0.5
01-01-2015,11-01-2015,winter,2.4,4.0,11-01-2015 01:00:00,Clear,20.6,22.0,255,168,0.75,0,1,-0.5
01-01-2015,11-01-2015,winter,2.4,4.0,11-01-2015 02:00:00,Clear,20.6,23.0,198,169,0.75,0,1,-0.5
01-01-2015,11-01-2015,winter,2.4,4.0,11-01-2015 03:00:00,Scattered clouds,24.0,27.0,135,170,0.75,0,1,-1
01-01-2015,11-01-2015,winter,2.4,4.0,11-01-2015 04:00:00,Clear,27.4,28.0,74,171,0.725,0,1,-1
01-01-2015,11-01-2015,winter,2.4,4.0,11-01-2015 05:00:00,Clear,24.0,27.0,57,172,0.7,0,1,-1
01-01-2015,11-01-2015,winter,2.4,4.5,11-01-2015 06:00:00,Clear,20.6,24.0,67,173,0.68,0,1,0
01-01-2015,11-01-2015,winter,4.9,5.0,11-01-2015 07:00:00,Clear,20.6,24.0,93,174,0.66,0,1,1
01-01-2015,11-01-2015,winter,4.9,5.0,11-01-2015 08:00:00,Clear,27.4,29.5,241,175,0.66,0,1,0
01-01-2015,11-01-2015,winter,4.9,5.5,11-01-2015 09:00:00,Clear,27.4,29.0,538,176,0.635,0,1,0.5
01-01-2015,11-01-2015,winter,4.9,6.5,11-01-2015 10:00:00,Clear,27.4,30.0,922,177,0.61,0,1,2
01-01-2015,11-01-2015,winter,7.3,7.5,11-01-2015 11:00:00,Clear,24.0,27.0,1248,178,0.59,0,1,3.5
01-01-2015,11-01-2015,winter,7.3,8.5,11-01-2015 12:00:00,Clear,24.0,27.0,1555,179,0.555,0,1,4.5
01-01-2015,11-01-2015,winter,7.3,9.0,11-01-2015 13:00:00,Scattered clouds,27.4,28.0,1813,180,0.56,0,1,5
01-01-2015,11-01-2015,winter,7.3,9.0,11-01-2015 14:00:00,Scattered clouds,27.4,28.0,1639,181,0.6,0,1,5
01-01-2015,11-01-2015,winter,7.3,8.5,11-01-2015 15:00:00,Broken clouds,24.0,26.0,1464,182,0.64,0,1,5
01-01-2015,11-01-2015,winter,7.3,8.0,11-01-2015 16:00:00,Broken clouds,20.6,23.0,1097,183,0.66,0,1,4.5
01-01-2015,11-01-2015,winter,7.3,8.0,11-01-2015 17:00:00,Rain,17.2,20.5,827,184,0.71,0,1,5
01-01-2015,11-01-2015,winter,7.3,8.0,11-01-2015 18:00:00,Rain,24.0,25.0,519,185,0.735,0,1,4
01-01-2015,11-01-2015,winter,7.3,8.0,11-01-2015 19:00:00,Broken clouds,20.6,24.0,493,186,0.735,0,1,4
01-01-2015,11-01-2015,winter,7.3,8.0,11-01-2015 20:00:00,Rain,24.0,26.0,315,187,0.71,0,1,4.5
01-01-2015,11-01-2015,winter,7.3,8.0,11-01-2015 21:00:00,Rain,27.4,30.0,260,188,0.71,0,1,4
01-01-2015,11-01-2015,winter,7.3,9.0,11-01-2015 22:00:00,Rain,34.3,37.0,237,189,0.66,0,1,5
01-01-2015,11-01-2015,winter,7.3,9.0,11-01-2015 23:00:00,Broken clouds,27.4,30.5,168,190,0.71,0,1,5
01-01-2015,12-01-2015,winter,7.3,9.0,12-01-2015 00:00:00,Scattered clouds,27.4,29.0,117,191,0.685,0,0,5
01-01-2015,12-01-2015,winter,9.8,10.0,12-01-2015 01:00:00,Cloudy,30.9,34.0,45,192,0.6,0,0,6
01-01-2015,12-01-2015,winter,9.8,10.0,12-01-2015 02:00:00,Cloudy,27.4,30.0,29,193,0.645,0,0,7
01-01-2015,12-01-2015,winter,9.8,10.0,12-01-2015 03:00:00,Broken clouds,27.4,30.5,36,194,0.67,0,0,6.5
01-01-2015,12-01-2015,winter,9.8,10.0,12-01-2015 04:00:00,Broken clouds,30.9,33.5,26,195,0.67,0,0,6.5
01-01-2015,12-01-2015,winter,9.8,10.0,12-01-2015 05:00:00,Broken clouds,34.3,35.0,86,196,0.67,0,0,6
01-01-2015,12-01-2015,winter,9.8,10.0,12-01-2015 06:00:00,Rain,30.9,31.0,433,197,0.735,0,0,6
01-01-2015,12-01-2015,winter,9.8,10.0,12-01-2015 07:00:00,Rain,27.4,30.0,1541,198,0.76,0,0,7
01-01-2015,12-01-2015,winter,9.8,10.0,12-01-2015 08:00:00,Broken clouds,30.9,31.0,3418,199,0.76,0,0,6
01-01-2015,12-01-2015,winter,9.8,11.5,12-01-2015 09:00:00,Broken clouds,30.9,32.5,1832,200,0.67,0,0,11.5
01-01-2015,12-01-2015,winter,9.8,12.0,12-01-2015 10:00:00,Broken clouds,30.9,33.0,723,201,0.67,0,0,12
01-01-2015,12-01-2015,winter,9.8,12.0,12-01-2015 11:00:00,Broken clouds,37.7,39.0,654,202,0.745,0,0,12
01-01-2015,12-01-2015,winter,9.8,12.0,12-01-2015 12:00:00,Broken clouds,27.4,29.5,700,203,0.795,0,0,12
01-01-2015,12-01-2015,winter,9.8,12.0,12-01-2015 13:00:00,Broken clouds,27.4,29.5,631,204,0.795,0,0,12
01-01-2015,12-01-2015,winter,12.2,12.5,12-01-2015 14:00:00,Rain,30.9,33.0,520,205,0.77,0,0,12.5
